geoid,year,table_line,est
18001,2016,1,8537

18003,2016,1,91811

18005,2016,1,20727

18007,2016,1,2316

18009,2016,1,3493

18011,2016,1,17210

18013,2016,1,4201

18015,2016,1,5423

18017,2016,1,9580

18019,2016,1,28370

18021,2016,1,7565

18023,2016,1,8203

18025,2016,1,2768

18027,2016,1,8310

18029,2016,1,13673

18031,2016,1,7217

18033,2016,1,11136

18035,2016,1,27501

18037,2016,1,11490

18039,2016,1,50709

18041,2016,1,6533

18043,2016,1,19524

18045,2016,1,4491

18047,2016,1,6584

18049,2016,1,5278

18051,2016,1,9180

18053,2016,1,16854

18055,2016,1,8386

18057,2016,1,81987

18059,2016,1,19484

18061,2016,1,10054

18063,2016,1,41052

18065,2016,1,11947

18067,2016,1,22223

18069,2016,1,9885

18071,2016,1,11715

18073,2016,1,8776

18075,2016,1,5474

18077,2016,1,8633

18079,2016,1,7235

18081,2016,1,39160

18083,2016,1,9308

18085,2016,1,21611

18087,2016,1,9392

18089,2016,1,123242

18091,2016,1,28396

18093,2016,1,13014

18095,2016,1,33604

18097,2016,1,208284

18099,2016,1,11856

18101,2016,1,2617

18103,2016,1,9111

18105,2016,1,27674

18107,2016,1,10176

18109,2016,1,18722

18111,2016,1,3885

18113,2016,1,12806

18115,2016,1,1695

18117,2016,1,5302

18119,2016,1,6003

18121,2016,1,4329

18123,2016,1,5021

18125,2016,1,3490

18127,2016,1,44153

18129,2016,1,7330

18131,2016,1,3554

18133,2016,1,8994

18135,2016,1,6881

18137,2016,1,7986

18139,2016,1,4776

18141,2016,1,64126

18143,2016,1,6219

18145,2016,1,11521

18147,2016,1,5899

18149,2016,1,6149

18151,2016,1,9206

18153,2016,1,5487

18155,2016,1,2972

18157,2016,1,38455

18159,2016,1,4376

18161,2016,1,1839

18163,2016,1,44725

18165,2016,1,4181

18167,2016,1,25083

18169,2016,1,8602

18171,2016,1,2449

18173,2016,1,17110

18175,2016,1,7528

18177,2016,1,17280

18179,2016,1,7652

18181,2016,1,6723

18183,2016,1,9409

